country_iso3,country_name,year,gdp_growth,inflation,unemployment,lending_rate,trade_opennes,govt_debt,gdp_per_capita_growth
PHL,Philippines,1995,4.62522511739661,6.83199610989534,3.68,14.6821666666667,57.3305579762779,-2.33919983744538,2.3606395486743
PHL,Philippines,1996,5.8603478716379,7.4761037778791,3.607,14.83975,63.8553035508774,-4.17652404044575,3.44957899709138
PHL,Philippines,1997,5.18641167406165,5.59025939650601,3.592,16.27575,77.2286459172662,-4.62349405712408,2.74055980419841
PHL,Philippines,1998,-0.514090599541888,9.23493432267121,3.697,16.7774166666667,80.077201518421,2.07537904684556,-2.98474954559696
PHL,Philippines,1999,3.34645118398267,5.93904901780808,3.751,11.77625,77.1614937122172,-3.35706942771647,0.738331283023413
PHL,Philippines,2000,4.38250500083399,3.9771250324928,3.77,10.90725,85.1533684600039,-2.66284885287764,1.9282797124846
PHL,Philippines,2001,3.04923134463486,5.34550195567142,3.698,12.4015833333333,84.9003886237531,-2.21740069327136,0.800810377832349
PHL,Philippines,2002,3.71625500158383,2.72277227722765,3.616,9.1385,83.8448040937789,-0.334490425515421,1.63440956717702
PHL,Philippines,2003,5.08691113513073,2.28915662650607,3.527,9.47166666666667,87.5746443636636,0.327439073939328,3.02447664962099
PHL,Philippines,2004,6.56922851180626,4.82921083627795,3.554,10.079,87.1252848232048,1.71049031113279,4.51829535753411
PHL,Philippines,2005,4.94250511877678,6.51685393258433,3.795,10.1849166666667,83.8456745708051,1.8529075905422,3.00922096669444
PHL,Philippines,2006,5.31641682136939,5.4852320675105,4.052,9.77866666666667,80.8505386728775,5.4545225788942,3.55972238279863
PHL,Philippines,2007,6.51929155018938,2.90000000000003,3.434,8.69141666666667,73.6449799920629,5.17497335468166,4.68750495300476
PHL,Philippines,2008,4.34448730509183,8.26044703595725,3.72,8.75108333333334,67.6810707730401,0.0792959465366613,2.51657128580275
PHL,Philippines,2009,1.44832306275669,4.21903052064628,3.858,8.56616666666667,60.8865907869758,4.80078349700448,-0.362955289837316
PHL,Philippines,2010,7.33449996034538,3.78983634797591,3.605,7.67266666666667,66.1042785137797,3.44540917722718,5.15869430276467
PHL,Philippines,2011,3.85823282795663,4.7184170471842,3.592,6.66325,60.7958366999075,2.4091906991357,1.83760514144211
PHL,Philippines,2012,6.89695171050985,3.02696391124796,3.504,5.6795,57.8420055133082,2.65327822085759,4.8407653397621
PHL,Philippines,2013,6.75053130142255,2.58268766141795,3.497,5.76683333333333,55.8247812320298,4.00964958369033,4.76266633818079
PHL,Philippines,2014,6.34798748260867,3.59782343864211,3.6,5.52591666666666,57.4681720875945,3.61563913358328,4.61514068278228
PHL,Philippines,2015,6.34830971672761,0.674192536845408,3.068,5.57825,59.1415921053094,2.37094985955594,4.7872505574235
PHL,Philippines,2016,7.14945675000752,1.25369880080982,2.695,5.642,61.7760657653871,-0.376262661565375,5.7212148588973
PHL,Philippines,2017,6.9309883258402,2.85318772590947,2.552,5.62725,68.1683697426727,-0.652387929422696,5.56223020665776
PHL,Philippines,2018,6.34148557153473,5.30934661627707,2.338,6.1185,72.1633982990273,-2.55939306312468,5.03429067114457
PHL,Philippines,2019,6.11852566221303,2.39206534422404,2.237,7.09583333333333,68.8418422595678,-0.808557862529766,4.83577546655691
PHL,Philippines,2020,-9.51829474045297,2.3931623931624,2.522,,58.1695603022281,3.20065009232564,-10.5488615065624
PHL,Philippines,2021,5.71473313185116,3.92718022100332,3.398,,63.4846098136712,-1.50797765976295,4.76163916254069
PHL,Philippines,2022,7.58098212785563,5.82115811213955,2.598,,72.4296836107599,-4.51605763317132,6.76595410569132
PHL,Philippines,2023,5.51894967862863,5.97802515541409,2.2,,67.4199693173966,-2.83412113848662,4.66769736279124
POL,Poland,1995,7.92965956313934,27.951388563304,13.695,,43.5552180979904,0.59787790958511,7.78327567268047
POL,Poland,1996,6.09387747385628,19.7949669196707,12.684,,45.3767344453465,-2.02968632371393,6.01319811600105
POL,Poland,1997,6.35890635030509,14.91315861496,10.964,,50.376378640536,-3.59238073994115,6.28931151450062
POL,Poland,1998,4.62161133761769,11.5978554257236,9.935,,56.5460556555084,-3.93707818430142,4.58421234371184
POL,Poland,1999,4.69918479192557,7.15407291179853,12.29,,53.8980187624686,-7.31498200628172,4.70787806733438
POL,Poland,2000,4.65633252988236,9.90017538843065,14.928,,60.6107209423297,-5.98021918224644,5.75502267661936
POL,Poland,2001,1.23374464400356,5.4083354556615,18.435,,57.8785312712895,-3.09972932809545,1.26167597595419
POL,Poland,2002,1.90119437968586,1.90528215048054,20.211,,60.7967990573911,-2.77624121851834,1.94840486282048
